Year,Married Filing Jointly (Rates/Brackets),,Married Filing Jointly Salary,Married Filing Separately (Rates/Brackets),,Married Filing Separately Salary,Single Filer (Rates/Brackets),,Single Filer Salary,Head of Household (Rates/Brackets),,Head of Household Salary
1975,69.00%,>,"$180,000 ",69.00%,>,"$90,000 ",69.00%,>,"$90,000 ",59.00%,>,"$64,000 "
1975,70.00%,>,"$200,000 ",70.00%,>,"$100,000 ",70.00%,>,"$100,000 ",61.00%,>,"$70,000 "
1975,,,,,,,,,,62.00%,>,"$76,000 "
1975,,,,,,,,,,63.00%,>,"$80,000 "
1975,,,,,,,,,,64.00%,>,"$88,000 "
1975,,,,,,,,,,66.00%,>,"$100,000 "
1975,,,,,,,,,,67.00%,>,"$120,000 "
1975,,,,,,,,,,68.00%,>,"$140,000 "
1975,,,,,,,,,,69.00%,>,"$160,000 "
1975,,,,,,,,,,70.00%,>,"$180,000 "
,,,,,,,,,,,,
1974,14.00%,>,$0 ,14.00%,>,$0 ,14.00%,>,$0 ,14.00%,>,$0 
1974,15.00%,>,"$1,000 ",15.00%,>,$500 ,15.00%,>,$500 ,16.00%,>,"$1,000 "
1974,16.00%,>,"$2,000 ",16.00%,>,"$1,000 ",16.00%,>,"$1,000 ",18.00%,>,"$2,000 "
1974,17.00%,>,"$3,000 ",17.00%,>,"$1,500 ",17.00%,>,"$1,500 ",19.00%,>,"$4,000 "
1974,19.00%,>,"$4,000 ",19.00%,>,"$2,000 ",19.00%,>,"$2,000 ",22.00%,>,"$6,000 "
1974,22.00%,>,"$8,000 ",22.00%,>,"$4,000 ",22.00%,>,"$4,000 ",23.00%,>,"$8,000 "
1974,25.00%,>,"$12,000 ",25.00%,>,"$6,000 ",25.00%,>,"$6,000 ",25.00%,>,"$10,000 "
1974,28.00%,>,"$16,000 ",28.00%,>,"$8,000 ",28.00%,>,"$8,000 ",27.00%,>,"$12,000 "
1974,32.00%,>,"$20,000 ",32.00%,>,"$10,000 ",32.00%,>,"$10,000 ",28.00%,>,"$14,000 "
1974,36.00%,>,"$24,000 ",36.00%,>,"$12,000 ",36.00%,>,"$12,000 ",31.00%,>,"$16,000 "
1974,39.00%,>,"$28,000 ",39.00%,>,"$14,000 ",39.00%,>,"$14,000 ",32.00%,>,"$18,000 "
1974,42.00%,>,"$32,000 ",42.00%,>,"$16,000 ",42.00%,>,"$16,000 ",35.00%,>,"$20,000 "
1974,45.00%,>,"$36,000 ",45.00%,>,"$18,000 ",45.00%,>,"$18,000 ",36.00%,>,"$22,000 "
1974,48.00%,>,"$40,000 ",48.00%,>,"$20,000 ",48.00%,>,"$20,000 ",38.00%,>,"$24,000 "
1974,50.00%,>,"$44,000 ",50.00%,>,"$22,000 ",50.00%,>,"$22,000 ",41.00%,>,"$26,000 "
1974,53.00%,>,"$52,000 ",53.00%,>,"$26,000 ",53.00%,>,"$26,000 ",42.00%,>,"$28,000 "
1974,55.00%,>,"$64,000 ",55.00%,>,"$32,000 ",55.00%,>,"$32,000 ",45.00%,>,"$32,000 "
1974,58.00%,>,"$76,000 ",58.00%,>,"$38,000 ",58.00%,>,"$38,000 ",48.00%,>,"$36,000 "
1974,60.00%,>,"$88,000 ",60.00%,>,"$44,000 ",60.00%,>,"$44,000 ",51.00%,>,"$38,000 "
1974,62.00%,>,"$100,000 ",62.00%,>,"$50,000 ",62.00%,>,"$50,000 ",52.00%,>,"$40,000 "
1974,64.00%,>,"$120,000 ",64.00%,>,"$60,000 ",64.00%,>,"$60,000 ",55.00%,>,"$44,000 "
1974,66.00%,>,"$140,000 ",66.00%,>,"$70,000 ",66.00%,>,"$70,000 ",56.00%,>,"$50,000 "
1974,68.00%,>,"$160,000 ",68.00%,>,"$80,000 ",68.00%,>,"$80,000 ",58.00%,>,"$52,000 "
1974,69.00%,>,"$180,000 ",69.00%,>,"$90,000 ",69.00%,>,"$90,000 ",59.00%,>,"$64,000 "
1974,70.00%,>,"$200,000 ",70.00%,>,"$100,000 ",70.00%,>,"$100,000 ",61.00%,>,"$70,000 "
1974,,,,,,,,,,62.00%,>,"$76,000 "
1974,,,,,,,,,,63.00%,>,"$80,000 "
1974,,,,,,,,,,64.00%,>,"$88,000 "
1974,,,,,,,,,,66.00%,>,"$100,000 "
1974,,,,,,,,,,67.00%,>,"$120,000 "
1974,,,,,,,,,,68.00%,>,"$140,000 "
1974,,,,,,,,,,69.00%,>,"$160,000 "
1974,,,,,,,,,,70.00%,>,"$180,000 "
,,,,,,,,,,,,
1973,14.00%,>,$0 ,14.00%,>,$0 ,14.00%,>,$0 ,14.00%,>,$0 
1973,15.00%,>,"$1,000 ",15.00%,>,$500 ,15.00%,>,$500 ,16.00%,>,"$1,000 "
1973,16.00%,>,"$2,000 ",16.00%,>,"$1,000 ",16.00%,>,"$1,000 ",18.00%,>,"$2,000 "
1973,17.00%,>,"$3,000 ",17.00%,>,"$1,500 ",17.00%,>,"$1,500 ",19.00%,>,"$4,000 "
1973,19.00%,>,"$4,000 ",19.00%,>,"$2,000 ",19.00%,>,"$2,000 ",22.00%,>,"$6,000 "
1973,22.00%,>,"$8,000 ",22.00%,>,"$4,000 ",22.00%,>,"$4,000 ",23.00%,>,"$8,000 "
1973,25.00%,>,"$12,000 ",25.00%,>,"$6,000 ",25.00%,>,"$6,000 ",25.00%,>,"$10,000 "
1973,28.00%,>,"$16,000 ",28.00%,>,"$8,000 ",28.00%,>,"$8,000 ",27.00%,>,"$12,000 "
1973,32.00%,>,"$20,000 ",32.00%,>,"$10,000 ",32.00%,>,"$10,000 ",28.00%,>,"$14,000 "
1973,36.00%,>,"$24,000 ",36.00%,>,"$12,000 ",36.00%,>,"$12,000 ",31.00%,>,"$16,000 "
1973,39.00%,>,"$28,000 ",39.00%,>,"$14,000 ",39.00%,>,"$14,000 ",32.00%,>,"$18,000 "
1973,42.00%,>,"$32,000 ",42.00%,>,"$16,000 ",42.00%,>,"$16,000 ",35.00%,>,"$20,000 "
1973,45.00%,>,"$36,000 ",45.00%,>,"$18,000 ",45.00%,>,"$18,000 ",36.00%,>,"$22,000 "
1973,48.00%,>,"$40,000 ",48.00%,>,"$20,000 ",48.00%,>,"$20,000 ",38.00%,>,"$24,000 "
1973,50.00%,>,"$44,000 ",50.00%,>,"$22,000 ",50.00%,>,"$22,000 ",41.00%,>,"$26,000 "
1973,53.00%,>,"$52,000 ",53.00%,>,"$26,000 ",53.00%,>,"$26,000 ",42.00%,>,"$28,000 "
1973,55.00%,>,"$64,000 ",55.00%,>,"$32,000 ",55.00%,>,"$32,000 ",45.00%,>,"$32,000 "
1973,58.00%,>,"$76,000 ",58.00%,>,"$38,000 ",58.00%,>,"$38,000 ",48.00%,>,"$36,000 "
1973,60.00%,>,"$88,000 ",60.00%,>,"$44,000 ",60.00%,>,"$44,000 ",51.00%,>,"$38,000 "
1973,62.00%,>,"$100,000 ",62.00%,>,"$50,000 ",62.00%,>,"$50,000 ",52.00%,>,"$40,000 "
1973,64.00%,>,"$120,000 ",64.00%,>,"$60,000 ",64.00%,>,"$60,000 ",55.00%,>,"$44,000 "
1973,66.00%,>,"$140,000 ",66.00%,>,"$70,000 ",66.00%,>,"$70,000 ",56.00%,>,"$50,000 "
1973,68.00%,>,"$160,000 ",68.00%,>,"$80,000 ",68.00%,>,"$80,000 ",58.00%,>,"$52,000 "
1973,69.00%,>,"$180,000 ",69.00%,>,"$90,000 ",69.00%,>,"$90,000 ",59.00%,>,"$64,000 "
1973,70.00%,>,"$200,000 ",70.00%,>,"$100,000 ",70.00%,>,"$100,000 ",61.00%,>,"$70,000 "
1973,,,,,,,,,,62.00%,>,"$76,000 "
1973,,,,,,,,,,63.00%,>,"$80,000 "
1973,,,,,,,,,,64.00%,>,"$88,000 "
1973,,,,,,,,,,66.00%,>,"$100,000 "
1973,,,,,,,,,,67.00%,>,"$120,000 "
1973,,,,,,,,,,68.00%,>,"$140,000 "
1973,,,,,,,,,,69.00%,>,"$160,000 "
1973,,,,,,,,,,70.00%,>,"$180,000 "
,,,,,,,,,,,,
1972,14.00%,>,$0 ,14.00%,>,$0 ,14.00%,>,$0 ,14.00%,>,$0 
1972,15.00%,>,"$1,000 ",15.00%,>,$500 ,15.00%,>,$500 ,16.00%,>,"$1,000 "
1972,16.00%,>,"$2,000 ",16.00%,>,"$1,000 ",16.00%,>,"$1,000 ",18.00%,>,"$2,000 "
1972,17.00%,>,"$3,000 ",17.00%,>,"$1,500 ",17.00%,>,"$1,500 ",19.00%,>,"$4,000 "
1972,19.00%,>,"$4,000 ",19.00%,>,"$2,000 ",19.00%,>,"$2,000 ",22.00%,>,"$6,000 "
1972,22.00%,>,"$8,000 ",22.00%,>,"$4,000 ",22.00%,>,"$4,000 ",23.00%,>,"$8,000 "
1972,25.00%,>,"$12,000 ",25.00%,>,"$6,000 ",25.00%,>,"$6,000 ",25.00%,>,"$10,000 "
1972,28.00%,>,"$16,000 ",28.00%,>,"$8,000 ",28.00%,>,"$8,000 ",27.00%,>,"$12,000 "
1972,32.00%,>,"$20,000 ",32.00%,>,"$10,000 ",32.00%,>,"$10,000 ",28.00%,>,"$14,000 "
1972,36.00%,>,"$24,000 ",36.00%,>,"$12,000 ",36.00%,>,"$12,000 ",31.00%,>,"$16,000 "
1972,39.00%,>,"$28,000 ",39.00%,>,"$14,000 ",39.00%,>,"$14,000 ",32.00%,>,"$18,000 "
1972,42.00%,>,"$32,000 ",42.00%,>,"$16,000 ",42.00%,>,"$16,000 ",35.00%,>,"$20,000 "
1972,45.00%,>,"$36,000 ",45.00%,>,"$18,000 ",45.00%,>,"$18,000 ",36.00%,>,"$22,000 "
1972,48.00%,>,"$40,000 ",48.00%,>,"$20,000 ",48.00%,>,"$20,000 ",38.00%,>,"$24,000 "
1972,50.00%,>,"$44,000 ",50.00%,>,"$22,000 ",50.00%,>,"$22,000 ",41.00%,>,"$26,000 "
1972,53.00%,>,"$52,000 ",53.00%,>,"$26,000 ",53.00%,>,"$26,000 ",42.00%,>,"$28,000 "
1972,55.00%,>,"$64,000 ",55.00%,>,"$32,000 ",55.00%,>,"$32,000 ",45.00%,>,"$32,000 "
1972,58.00%,>,"$76,000 ",58.00%,>,"$38,000 ",58.00%,>,"$38,000 ",48.00%,>,"$36,000 "
1972,60.00%,>,"$88,000 ",60.00%,>,"$44,000 ",60.00%,>,"$44,000 ",51.00%,>,"$38,000 "
1972,62.00%,>,"$100,000 ",62.00%,>,"$50,000 ",62.00%,>,"$50,000 ",52.00%,>,"$40,000 "
1972,64.00%,>,"$120,000 ",64.00%,>,"$60,000 ",64.00%,>,"$60,000 ",55.00%,>,"$44,000 "
1972,66.00%,>,"$140,000 ",66.00%,>,"$70,000 ",66.00%,>,"$70,000 ",56.00%,>,"$50,000 "
1972,68.00%,>,"$160,000 ",68.00%,>,"$80,000 ",68.00%,>,"$80,000 ",58.00%,>,"$52,000 "
1972,69.00%,>,"$180,000 ",69.00%,>,"$90,000 ",69.00%,>,"$90,000 ",59.00%,>,"$64,000 "
1972,70.00%,>,"$200,000 ",70.00%,>,"$100,000 ",70.00%,>,"$100,000 ",61.00%,>,"$70,000 "
1972,,,,,,,,,,62.00%,>,"$76,000 "
1972,,,,,,,,,,63.00%,>,"$80,000 "
1972,,,,,,,,,,64.00%,>,"$88,000 "
1972,,,,,,,,,,66.00%,>,"$100,000 "
1972,,,,,,,,,,67.00%,>,"$120,000 "
1972,,,,,,,,,,68.00%,>,"$140,000 "
1972,,,,,,,,,,69.00%,>,"$160,000 "
1972,,,,,,,,,,70.00%,>,"$180,000 "
,,,,,,,,,,,,
1971,14.00%,>,$0 ,14.00%,>,$0 ,14.00%,>,$0 ,14.00%,>,$0 
1971,15.00%,>,"$1,000 ",15.00%,>,$500 ,15.00%,>,$500 ,16.00%,>,"$1,000 "
1971,16.00%,>,"$2,000 ",16.00%,>,"$1,000 ",16.00%,>,"$1,000 ",18.00%,>,"$2,000 "
1971,17.00%,>,"$3,000 ",17.00%,>,"$1,500 ",17.00%,>,"$1,500 ",19.00%,>,"$4,000 "
1971,19.00%,>,"$4,000 ",19.00%,>,"$2,000 ",19.00%,>,"$2,000 ",22.00%,>,"$6,000 "
1971,22.00%,>,"$8,000 ",22.00%,>,"$4,000 ",22.00%,>,"$4,000 ",23.00%,>,"$8,000 "
1971,25.00%,>,"$12,000 ",25.00%,>,"$6,000 ",25.00%,>,"$6,000 ",25.00%,>,"$10,000 "
1971,28.00%,>,"$16,000 ",28.00%,>,"$8,000 ",28.00%,>,"$8,000 ",27.00%,>,"$12,000 "
1971,32.00%,>,"$20,000 ",32.00%,>,"$10,000 ",32.00%,>,"$10,000 ",28.00%,>,"$14,000 "
1971,36.00%,>,"$24,000 ",36.00%,>,"$12,000 ",36.00%,>,"$12,000 ",31.00%,>,"$16,000 "
1971,39.00%,>,"$28,000 ",39.00%,>,"$14,000 ",39.00%,>,"$14,000 ",32.00%,>,"$18,000 "
1971,42.00%,>,"$32,000 ",42.00%,>,"$16,000 ",42.00%,>,"$16,000 ",35.00%,>,"$20,000 "
1971,45.00%,>,"$36,000 ",45.00%,>,"$18,000 ",45.00%,>,"$18,000 ",36.00%,>,"$22,000 "
1971,48.00%,>,"$40,000 ",48.00%,>,"$20,000 ",48.00%,>,"$20,000 ",38.00%,>,"$24,000 "
1971,50.00%,>,"$44,000 ",50.00%,>,"$22,000 ",50.00%,>,"$22,000 ",41.00%,>,"$26,000 "
1971,53.00%,>,"$52,000 ",53.00%,>,"$26,000 ",53.00%,>,"$26,000 ",42.00%,>,"$28,000 "
1971,55.00%,>,"$64,000 ",55.00%,>,"$32,000 ",55.00%,>,"$32,000 ",45.00%,>,"$32,000 "
1971,58.00%,>,"$76,000 ",58.00%,>,"$38,000 ",58.00%,>,"$38,000 ",48.00%,>,"$36,000 "
1971,60.00%,>,"$88,000 ",60.00%,>,"$44,000 ",60.00%,>,"$44,000 ",51.00%,>,"$38,000 "
1971,62.00%,>,"$100,000 ",62.00%,>,"$50,000 ",62.00%,>,"$50,000 ",52.00%,>,"$40,000 "
1971,64.00%,>,"$120,000 ",64.00%,>,"$60,000 ",64.00%,>,"$60,000 ",55.00%,>,"$44,000 "
1971,66.00%,>,"$140,000 ",66.00%,>,"$70,000 ",66.00%,>,"$70,000 ",56.00%,>,"$50,000 "
1971,68.00%,>,"$160,000 ",68.00%,>,"$80,000 ",68.00%,>,"$80,000 ",58.00%,>,"$52,000 "
1971,69.00%,>,"$180,000 ",69.00%,>,"$90,000 ",69.00%,>,"$90,000 ",59.00%,>,"$64,000 "
1971,70.00%,>,"$200,000 ",70.00%,>,"$100,000 ",70.00%,>,"$100,000 ",61.00%,>,"$70,000 "
1971,,,,,,,,,,62.00%,>,"$76,000 "
1971,,,,,,,,,,63.00%,>,"$80,000 "
1971,,,,,,,,,,64.00%,>,"$88,000 "
1971,,,,,,,,,,66.00%,>,"$100,000 "
1971,,,,,,,,,,67.00%,>,"$120,000 "
1971,,,,,,,,,,68.00%,>,"$140,000 "
1971,,,,,,,,,,69.00%,>,"$160,000 "
1971,,,,,,,,,,70.00%,>,"$180,000 "
,,,,,,,,,,,,
1970,14.00%,>,$0 ,14.00%,>,$0 ,14.00%,>,$0 ,14.00%,>,$0 
1970,15.00%,>,"$1,000 ",15.00%,>,$500 ,15.00%,>,$500 ,16.00%,>,"$1,000 "
1970,16.00%,>,"$2,000 ",16.00%,>,"$1,000 ",16.00%,>,"$1,000 ",18.00%,>,"$2,000 "
1970,17.00%,>,"$3,000 ",17.00%,>,"$1,500 ",17.00%,>,"$1,500 ",20.00%,>,"$4,000 "
1970,19.00%,>,"$4,000 ",19.00%,>,"$2,000 ",19.00%,>,"$2,000 ",22.00%,>,"$6,000 "
1970,22.00%,>,"$8,000 ",22.00%,>,"$4,000 ",22.00%,>,"$4,000 ",25.00%,>,"$8,000 "
1970,25.00%,>,"$12,000 ",25.00%,>,"$6,000 ",25.00%,>,"$6,000 ",27.00%,>,"$10,000 "
1970,28.00%,>,"$16,000 ",28.00%,>,"$8,000 ",28.00%,>,"$8,000 ",31.00%,>,"$12,000 "
1970,32.00%,>,"$20,000 ",32.00%,>,"$10,000 ",32.00%,>,"$10,000 ",32.00%,>,"$14,000 "
1970,36.00%,>,"$24,000 ",36.00%,>,"$12,000 ",36.00%,>,"$12,000 ",35.00%,>,"$16,000 "
1970,39.00%,>,"$28,000 ",39.00%,>,"$14,000 ",39.00%,>,"$14,000 ",36.00%,>,"$18,000 "
1970,42.00%,>,"$32,000 ",42.00%,>,"$16,000 ",42.00%,>,"$16,000 ",40.00%,>,"$20,000 "
1970,45.00%,>,"$36,000 ",45.00%,>,"$18,000 ",45.00%,>,"$18,000 ",41.00%,>,"$22,000 "
1970,48.00%,>,"$40,000 ",48.00%,>,"$20,000 ",48.00%,>,"$20,000 ",43.00%,>,"$24,000 "
1970,50.00%,>,"$44,000 ",50.00%,>,"$22,000 ",50.00%,>,"$22,000 ",45.00%,>,"$26,000 "
1970,53.00%,>,"$52,000 ",53.00%,>,"$26,000 ",53.00%,>,"$26,000 ",46.00%,>,"$28,000 "
1970,55.00%,>,"$64,000 ",55.00%,>,"$32,000 ",55.00%,>,"$32,000 ",48.00%,>,"$32,000 "
1970,58.00%,>,"$76,000 ",58.00%,>,"$38,000 ",58.00%,>,"$38,000 ",50.00%,>,"$36,000 "
1970,60.00%,>,"$88,000 ",60.00%,>,"$44,000 ",60.00%,>,"$44,000 ",52.00%,>,"$38,000 "
1970,62.00%,>,"$100,000 ",62.00%,>,"$50,000 ",62.00%,>,"$50,000 ",53.00%,>,"$40,000 "
1970,64.00%,>,"$120,000 ",64.00%,>,"$60,000 ",64.00%,>,"$60,000 ",55.00%,>,"$44,000 "
1970,66.00%,>,"$140,000 ",66.00%,>,"$70,000 ",66.00%,>,"$70,000 ",56.00%,>,"$50,000 "
1970,68.00%,>,"$160,000 ",68.00%,>,"$80,000 ",68.00%,>,"$80,000 ",58.00%,>,"$52,000 "
1970,69.00%,>,"$180,000 ",69.00%,>,"$90,000 ",69.00%,>,"$90,000 ",59.00%,>,"$64,000 "
1970,70.00%,>,"$200,000 ",70.00%,>,"$100,000 ",70.00%,>,"$100,000 ",61.00%,>,"$70,000 "
1970,,,,,,,,,,62.00%,>,"$76,000 "
1970,,,,,,,,,,63.00%,>,"$80,000 "
1970,,,,,,,,,,64.00%,>,"$88,000 "
1970,,,,,,,,,,66.00%,>,"$100,000 "
1970,,,,,,,,,,67.00%,>,"$120,000 "
1970,,,,,,,,,,68.00%,>,"$140,000 "
1970,,,,,,,,,,69.00%,>,"$160,000 "
1970,,,,,,,,,,70.00%,>,"$180,000 "
,,,,,,,,,,,,
1969,14.00%,>,$0 ,14.00%,>,$0 ,14.00%,>,$0 ,14.00%,>,$0 
1969,15.00%,>,"$1,000 ",15.00%,>,$500 ,15.00%,>,$500 ,16.00%,>,"$1,000 "
1969,16.00%,>,"$2,000 ",16.00%,>,"$1,000 ",16.00%,>,"$1,000 ",18.00%,>,"$2,000 "
1969,17.00%,>,"$3,000 ",17.00%,>,"$1,500 ",17.00%,>,"$1,500 ",20.00%,>,"$4,000 "
1969,19.00%,>,"$4,000 ",19.00%,>,"$2,000 ",19.00%,>,"$2,000 ",22.00%,>,"$6,000 "
1969,22.00%,>,"$8,000 ",22.00%,>,"$4,000 ",22.00%,>,"$4,000 ",25.00%,>,"$8,000 "
1969,25.00%,>,"$12,000 ",25.00%,>,"$6,000 ",25.00%,>,"$6,000 ",27.00%,>,"$10,000 "
1969,28.00%,>,"$16,000 ",28.00%,>,"$8,000 ",28.00%,>,"$8,000 ",31.00%,>,"$12,000 "
1969,32.00%,>,"$20,000 ",32.00%,>,"$10,000 ",32.00%,>,"$10,000 ",32.00%,>,"$14,000 "
1969,36.00%,>,"$24,000 ",36.00%,>,"$12,000 ",36.00%,>,"$12,000 ",35.00%,>,"$16,000 "
1969,39.00%,>,"$28,000 ",39.00%,>,"$14,000 ",39.00%,>,"$14,000 ",36.00%,>,"$18,000 "
1969,42.00%,>,"$32,000 ",42.00%,>,"$16,000 ",42.00%,>,"$16,000 ",40.00%,>,"$20,000 "
1969,45.00%,>,"$36,000 ",45.00%,>,"$18,000 ",45.00%,>,"$18,000 ",41.00%,>,"$22,000 "
1969,48.00%,>,"$40,000 ",48.00%,>,"$20,000 ",48.00%,>,"$20,000 ",43.00%,>,"$24,000 "
1969,50.00%,>,"$44,000 ",50.00%,>,"$22,000 ",50.00%,>,"$22,000 ",45.00%,>,"$26,000 "
1969,53.00%,>,"$52,000 ",53.00%,>,"$26,000 ",53.00%,>,"$26,000 ",46.00%,>,"$28,000 "
1969,55.00%,>,"$64,000 ",55.00%,>,"$32,000 ",55.00%,>,"$32,000 ",48.00%,>,"$32,000 "
1969,58.00%,>,"$76,000 ",58.00%,>,"$38,000 ",58.00%,>,"$38,000 ",50.00%,>,"$36,000 "
1969,60.00%,>,"$88,000 ",60.00%,>,"$44,000 ",60.00%,>,"$44,000 ",52.00%,>,"$38,000 "
1969,62.00%,>,"$100,000 ",62.00%,>,"$50,000 ",62.00%,>,"$50,000 ",53.00%,>,"$40,000 "
1969,64.00%,>,"$120,000 ",64.00%,>,"$60,000 ",64.00%,>,"$60,000 ",55.00%,>,"$44,000 "
1969,66.00%,>,"$140,000 ",66.00%,>,"$70,000 ",66.00%,>,"$70,000 ",56.00%,>,"$50,000 "
1969,68.00%,>,"$160,000 ",68.00%,>,"$80,000 ",68.00%,>,"$80,000 ",58.00%,>,"$52,000 "
1969,69.00%,>,"$180,000 ",69.00%,>,"$90,000 ",69.00%,>,"$90,000 ",59.00%,>,"$64,000 "
1969,70.00%,>,"$200,000 ",70.00%,>,"$100,000 ",70.00%,>,"$100,000 ",61.00%,>,"$70,000 "
1969,,,,,,,,,,62.00%,>,"$76,000 "
1969,,,,,,,,,,63.00%,>,"$80,000 "
1969,,,,,,,,,,64.00%,>,"$88,000 "
1969,,,,,,,,,,66.00%,>,"$100,000 "
1969,,,,,,,,,,67.00%,>,"$120,000 "
1969,,,,,,,,,,68.00%,>,"$140,000 "
1969,,,,,,,,,,69.00%,>,"$160,000 "
1969,,,,,,,,,,70.00%,>,"$180,000 "
,,,,,,,,,,,,
1968,14.00%,>,$0 ,14.00%,>,$0 ,14.00%,>,$0 ,14.00%,>,$0 
1968,15.00%,>,"$1,000 ",15.00%,>,$500 ,15.00%,>,$500 ,16.00%,>,"$1,000 "
1968,16.00%,>,"$2,000 ",16.00%,>,"$1,000 ",16.00%,>,"$1,000 ",18.00%,>,"$2,000 "
1968,17.00%,>,"$3,000 ",17.00%,>,"$1,500 ",17.00%,>,"$1,500 ",20.00%,>,"$4,000 "
1968,19.00%,>,"$4,000 ",19.00%,>,"$2,000 ",19.00%,>,"$2,000 ",22.00%,>,"$6,000 "
1968,22.00%,>,"$8,000 ",22.00%,>,"$4,000 ",22.00%,>,"$4,000 ",25.00%,>,"$8,000 "
1968,25.00%,>,"$12,000 ",25.00%,>,"$6,000 ",25.00%,>,"$6,000 ",27.00%,>,"$10,000 "
1968,28.00%,>,"$16,000 ",28.00%,>,"$8,000 ",28.00%,>,"$8,000 ",31.00%,>,"$12,000 "
1968,32.00%,>,"$20,000 ",32.00%,>,"$10,000 ",32.00%,>,"$10,000 ",32.00%,>,"$14,000 "
1968,36.00%,>,"$24,000 ",36.00%,>,"$12,000 ",36.00%,>,"$12,000 ",35.00%,>,"$16,000 "
1968,39.00%,>,"$28,000 ",39.00%,>,"$14,000 ",39.00%,>,"$14,000 ",36.00%,>,"$18,000 "
1968,42.00%,>,"$32,000 ",42.00%,>,"$16,000 ",42.00%,>,"$16,000 ",40.00%,>,"$20,000 "
1968,45.00%,>,"$36,000 ",45.00%,>,"$18,000 ",45.00%,>,"$18,000 ",41.00%,>,"$22,000 "
1968,48.00%,>,"$40,000 ",48.00%,>,"$20,000 ",48.00%,>,"$20,000 ",43.00%,>,"$24,000 "
1968,50.00%,>,"$44,000 ",50.00%,>,"$22,000 ",50.00%,>,"$22,000 ",45.00%,>,"$26,000 "
1968,53.00%,>,"$52,000 ",53.00%,>,"$26,000 ",53.00%,>,"$26,000 ",46.00%,>,"$28,000 "
1968,55.00%,>,"$64,000 ",55.00%,>,"$32,000 ",55.00%,>,"$32,000 ",48.00%,>,"$32,000 "
1968,58.00%,>,"$76,000 ",58.00%,>,"$38,000 ",58.00%,>,"$38,000 ",50.00%,>,"$36,000 "
1968,60.00%,>,"$88,000 ",60.00%,>,"$44,000 ",60.00%,>,"$44,000 ",52.00%,>,"$38,000 "
1968,62.00%,>,"$100,000 ",62.00%,>,"$50,000 ",62.00%,>,"$50,000 ",53.00%,>,"$40,000 "
1968,64.00%,>,"$120,000 ",64.00%,>,"$60,000 ",64.00%,>,"$60,000 ",55.00%,>,"$44,000 "
1968,66.00%,>,"$140,000 ",66.00%,>,"$70,000 ",66.00%,>,"$70,000 ",56.00%,>,"$50,000 "
1968,68.00%,>,"$160,000 ",68.00%,>,"$80,000 ",68.00%,>,"$80,000 ",58.00%,>,"$52,000 "
1968,69.00%,>,"$180,000 ",69.00%,>,"$90,000 ",69.00%,>,"$90,000 ",59.00%,>,"$64,000 "
1968,70.00%,>,"$200,000 ",70.00%,>,"$100,000 ",70.00%,>,"$100,000 ",61.00%,>,"$70,000 "
1968,,,,,,,,,,62.00%,>,"$76,000 "
1968,,,,,,,,,,63.00%,>,"$80,000 "
1968,,,,,,,,,,64.00%,>,"$88,000 "
1968,,,,,,,,,,66.00%,>,"$100,000 "
1968,,,,,,,,,,67.00%,>,"$120,000 "
1968,,,,,,,,,,68.00%,>,"$140,000 "
1968,,,,,,,,,,69.00%,>,"$160,000 "
1968,,,,,,,,,,70.00%,>,"$180,000 "
,,,,,,,,,,,,
1967,14.00%,>,$0 ,14.00%,>,$0 ,14.00%,>,$0 ,14.00%,>,$0 
1967,15.00%,>,"$1,000 ",15.00%,>,$500 ,15.00%,>,$500 ,16.00%,>,"$1,000 "
1967,16.00%,>,"$2,000 ",16.00%,>,"$1,000 ",16.00%,>,"$1,000 ",18.00%,>,"$2,000 "
1967,17.00%,>,"$3,000 ",17.00%,>,"$1,500 ",17.00%,>,"$1,500 ",20.00%,>,"$4,000 "
1967,19.00%,>,"$4,000 ",19.00%,>,"$2,000 ",19.00%,>,"$2,000 ",22.00%,>,"$6,000 "
1967,22.00%,>,"$8,000 ",22.00%,>,"$4,000 ",22.00%,>,"$4,000 ",25.00%,>,"$8,000 "
1967,25.00%,>,"$12,000 ",25.00%,>,"$6,000 ",25.00%,>,"$6,000 ",27.00%,>,"$10,000 "
1967,28.00%,>,"$16,000 ",28.00%,>,"$8,000 ",28.00%,>,"$8,000 ",31.00%,>,"$12,000 "
1967,32.00%,>,"$20,000 ",32.00%,>,"$10,000 ",32.00%,>,"$10,000 ",32.00%,>,"$14,000 "
1967,36.00%,>,"$24,000 ",36.00%,>,"$12,000 ",36.00%,>,"$12,000 ",35.00%,>,"$16,000 "
1967,39.00%,>,"$28,000 ",39.00%,>,"$14,000 ",39.00%,>,"$14,000 ",36.00%,>,"$18,000 "
1967,42.00%,>,"$32,000 ",42.00%,>,"$16,000 ",42.00%,>,"$16,000 ",40.00%,>,"$20,000 "
1967,45.00%,>,"$36,000 ",45.00%,>,"$18,000 ",45.00%,>,"$18,000 ",41.00%,>,"$22,000 "
1967,48.00%,>,"$40,000 ",48.00%,>,"$20,000 ",48.00%,>,"$20,000 ",43.00%,>,"$24,000 "
1967,50.00%,>,"$44,000 ",50.00%,>,"$22,000 ",50.00%,>,"$22,000 ",45.00%,>,"$26,000 "
1967,53.00%,>,"$52,000 ",53.00%,>,"$26,000 ",53.00%,>,"$26,000 ",46.00%,>,"$28,000 "
